,precision,recall,f1-score,support
Any Other Cyber Crime,0.3310287031217264,0.4229122055674518,0.37137148901163475,3736.0
Cryptocurrency Crime,0.19875776397515527,0.8311688311688312,0.3208020050125313,154.0
Cyber Attack/ Dependent Crimes,0.9984825493171472,1.0,0.9992406985573272,1316.0
Cyber Terrorism,0.25,0.19298245614035087,0.21782178217821782,57.0
Hacking  Damage to computercomputer system etc,0.1774193548387097,0.6133093525179856,0.27522195318805487,556.0
Online Cyber Trafficking,0.07692307692307693,0.04,0.05263157894736842,50.0
Online Financial Fraud,0.9205803968018952,0.7764623607572806,0.8424019076522871,20019.0
Online Gambling  Betting,0.15723270440251572,0.3048780487804878,0.2074688796680498,164.0
Online and Social Media Related Crime,0.6238906212520988,0.6439712800198069,0.6337719298245614,4039.0
Ransomware,0.4166666666666667,0.2631578947368421,0.3225806451612903,19.0
Report Unlawful Content,0.0,0.0,0.0,1.0
accuracy,0.7166151904619574,0.7166151904619574,0.7166151904619574,0.7166151904619574
macro avg,0.37736198520899933,0.4626220390626397,0.3857557153819384,30111.0
weighted avg,0.7864492143587339,0.7166151904619574,0.7433802105509977,30111.0
